Frans Kafka	The Castle	I dream of a grave, deep and narrow, where we could clasp each other in our arms as with clamps, and I would hide my face in you and you would hide your face in me, and nobody would ever see us any more.
Jorge Luis Borges		LearningAfter some time, you learn the subtle difference betweenholding a handand imprisoning a soul;You learn that love does not equal sex,and that company does not equal security,and you start to learn….That kisses are not contracts and gifts are not promises,and you start to accept defeat with the head up highand open eyes,and you learn to build all roads on today,because the terrain of tomorrow is too insecure for plans…and the future has its own way of falling apart in half.And you learn that if it’s too mucheven the warmth of the sun can burn.So you plant your own garden and embellish your own soul,instead of waiting for someone to bring flowers to you.And you learn that you can actually bear hardship,that you are actually strong,and you are actually worthy,and you learn and learn…and so every day.Over time you learn that being with someonebecause they offer you a good future,means that sooner or later you’ll want to return to your past.Over time you comprehend that only who is capableof loving you with your flaws, with no intention of changing youcan bring you all happiness.Over time you learn that if you are with a persononly to accompany your own solitude,irremediably you’ll end up wishing not to see them again.Over time you learn that real friends are fewand whoever doesn’t fight for them, sooner or later,will find himself surrounded only with false friendships.Over time you learn that words spoken in moments of angercontinue hurting throughout a lifetime.Over time you learn that everyone can apologize,but forgiveness is an attribute solely of great souls.Over time you comprehend that if you have hurt a friend harshlyit is very likely that your friendship will never be the same.Over time you realize that despite being happy with your friends,you cry for those you let go.Over time you realize that every experience lived,with each person, is unrepeatable.Over time you realize that whoever humiliatesor scorns another human being, sooner or laterwill suffer the same humiliations or scorn in tenfold.Over time you learn to build your roads on today,because the path of tomorrow doesn’t exist.Over time you comprehend that rushing things or forcing them to happencauses the finale to be different form expected.Over time you realize that in fact the best was not the future,but the moment you were living just that instant.Over time you will see that even when you are happy with those around you,you’ll yearn for those who walked away.Over time you will learn to forgive or ask for forgiveness,say you love, say you miss, say you need,say you want to be friends, since beforea grave, it will no longer make sense.But unfortunately, only over time…
Jorge Luis Borges		Life itself is a quotation.
Jorge Luis Borges	The Aleph and Other Stories	A man sets out to draw the world. As the years go by, he peoples a space with images of provinces, kingdoms, mountains, bays, ships, islands, fishes, rooms, instruments, stars, horses, and individuals. A short time before he dies, he discovers that the patient labyrinth of lines traces the lineaments of his own face.
Jorge Luis Borges		Writing is nothing more than a guided dream.
Jorge Luis Borges		The original is unfaithful to the translation.
Jorge Luis Borges		Nothing is built on stone; All is built on sand, but we must build as if the sand were stone.
Jorge Luis Borges		Truly fine poetry must be read aloud. A good poem does not allow itself to be read in a low voice or silently. If we can read it silently, it is not a valid poem: a poem demands pronunciation. Poetry always remembers that it was an oral art before it was a written art. It remembers that it was first song.
Jorge Luis Borges		To die for a religion is easier than to live it absolutely.
Jorge Luis Borges	Ragnarok	In dreams images take the shape of the effects we believe they cause. We are not terrified because some sphinx is threatening us but rather dream of a sphinx in order to explain the terror we are feeling.
George Eliot		It is never too late to be what you might have been.
George Eliot		What do we live for, if it is not to make life less difficult for each other?
